Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
C08,Absolute Quantification,ABS,S3_08,Ch2Unknown,2,Multi,131,ddPCR Supermix for Probes (no dUTP),2620,,,136,125,2093,17820,700,1318,1393,16502,35.3,19913,,,,,,,,0.96,,,1.02,0.9,49,,,50.6,47.5,1,1,0,9311.3,1952.4,2725.9,,,,,133.5,127.8,,,,,,,0.992,0.932,,,49.8,48.3
C09,Absolute Quantification,ABS,S3_09,Ch1Unknown,1,Multi,64.7,ddPCR Supermix for Probes (no dUTP),1294,,,68.7,60.7,1014,17939,341,673,698,17241,19.6,18953,,,,,,,,0.98,,,1.06,0.89,49.4,,,51.5,47.2,1,1,0,10100,1236.4,1710.6,,,,,66.7,62.7,,,,,,,1.018,0.932,,,50.5,48.3
C09,Absolute Quantification,ABS,S3_09,Ch2Unknown,2,Multi,66.3,ddPCR Supermix for Probes (no dUTP),1326,,,70.4,62.3,1039,17914,341,673,698,17241,19.6,18953,,,,,,,,0.98,,,1.06,0.89,49.4,,,51.5,47.2,1,1,0,9289.2,1931.4,2334.8,,,,,68.4,64.3,,,,,,,1.018,0.932,,,50.5,48.3
C10,Absolute Quantification,ABS,S3_10,Ch1Unknown,1,Multi,34.8,ddPCR Supermix for Probes (no dUTP),696,,,37.7,31.9,557,18535,173,384,366,18169,10.2,19092,,,,,,,,1.03,,,1.16,0.91,50.8,,,53.8,47.9,1,1,0,10160,1259.9,1519.6,,,,,36.3,33.4,,,,,,,1.1,0.97,,,52.3,49.3
C10,Absolute Quantification,ABS,S3_10,Ch2Unknown,2,Multi,33.7,ddPCR Supermix for Probes (no dUTP),674,,,36.5,30.9,539,18553,173,384,366,18169,10.2,19092,,,,,,,,1.03,,,1.16,0.91,50.8,,,53.8,47.9,1,1,0,9329.9,1930.3,2139.2,,,,,35.1,32.2,,,,,,,1.1,0.97,,,52.3,49.3
C11,Absolute Quantification,ABS,S3_11,Ch1Unknown,1,Multi,16,ddPCR Supermix for Probes (no dUTP),320,,,18,14,237,17305,75,162,171,17134,4.93,17542,,,,,,,,0.96,,,1.13,0.79,49.1,,,53.5,44.6,1,1,0,10114,1263.9,1383.5,,,,,17,15,,,,,,,1.05,0.88,,,51.3,46.8
C11,Absolute Quantification,ABS,S3_11,Ch2Unknown,2,Multi,16.6,ddPCR Supermix for Probes (no dUTP),332,,,18.7,14.5,246,17296,75,162,171,17134,4.93,17542,,,,,,,,0.96,,,1.13,0.79,49.1,,,53.5,44.6,1,1,0,9320.3,1924,2027.7,,,,,17.7,15.6,,,,,,,1.05,0.88,,,51.3,46.8
C12,Absolute Quantification,ABS,S3_12,Ch1Unknown,1,Multi,8.2,ddPCR Supermix for Probes (no dUTP),164,,,9.6,6.9,137,19491,41,96,90,19401,2.43,19628,,,,,,,,1.05,,,1.3,0.8,51,,,57,45,1,1,0,9999.5,1248.1,1309.2,,,,,8.9,7.5,,,,,,,1.17,0.92,,,54.2,48.1
C12,Absolute Quantification,ABS,S3_12,Ch2Unknown,2,Multi,7.9,ddPCR Supermix for Probes (no dUTP),158,,,9.2,6.5,131,19497,41,96,90,19401,2.43,19628,,,,,,,,1.05,,,1.3,0.8,51,,,57,45,1,1,0,9254.6,1919.5,1968.5,,,,,8.6,7.2,,,,,,,1.17,0.92,,,54.2,48.1
D01,Absolute Quantification,ABS,S4_01,Ch1Unknown,1,CHECK,5286,ddPCR Supermix for Probes (no dUTP),,,,,,19714,223,19509,205,205,18,2330,19937,,,,,,,,,,,,,,,,,,1,1,0,10132,1258.2,10033,,,,,,,,,,,,,,,,,,
D01,Absolute Quantification,ABS,S4_01,Ch2Unknown,2,CHECK,5286,ddPCR Supermix for Probes (no dUTP),,,,,,19714,223,19509,205,205,18,2330,19937,,,,,,,,,,,,,,,,,,1,1,0,9690.2,2426.7,9608.9,,,,,,,,,,,,,,,,,,
D02,Absolute Quantification,ABS,S4_02,Ch1Unknown,1,Multi,4250,ddPCR Supermix for Probes (no dUTP),85000,,,4360,4160,18237,504,17841,396,444,60,1870,18741,,,,,,,,0.973,,,1.006,0.94,49.3,,,50.2,48.5,1,1,0,9855,1299,9624.9,,,,,4310,4200,,,,,,,0.99,0.956,,,49.75,48.88
D02,Absolute Quantification,ABS,S4_02,Ch2Unknown,2,Multi,4370,ddPCR Supermix for Probes (no dUTP),87400,,,4480,4270,18285,456,17841,396,444,60,1870,18741,,,,,,,,0.973,,,1.006,0.94,49.3,,,50.2,48.5,1,1,0,9636.4,2392.6,9460.2,,,,,4430,4320,,,,,,,0.99,0.956,,,49.75,48.88
D03,Absolute Quantification,ABS,S4_03,Ch1Unknown,1,Multi,3160,ddPCR Supermix for Probes (no dUTP),63200,,,3220,3100,17857,1311,16911,946,999,312,1520,19168,,,,,,,,0.985,,,1.012,0.958,49.6,,,50.3,48.9,1,1,0,9643.3,1278.2,9071.2,,,,,3188,3125,,,,,,,0.999,0.971,,,49.97,49.27
D03,Absolute Quantification,ABS,S4_03,Ch2Unknown,2,Multi,3200,ddPCR Supermix for Probes (no dUTP),64000,,,3270,3140,17910,1258,16911,946,999,312,1520,19168,,,,,,,,0.985,,,1.012,0.958,49.6,,,50.3,48.9,1,1,0,9507,2290.3,9033.4,,,,,3237,3173,,,,,,,0.999,0.971,,,49.97,49.27
D04,Absolute Quantification,ABS,S4_04,Ch1Unknown,1,Multi,2059,ddPCR Supermix for Probes (no dUTP),41180,,,2096,2024,16038,3372,13976,2062,2179,1193,878,19410,,,,,,,,0.98,,,1.005,0.956,49.5,,,50.1,48.9,1,1,0,9649.5,1295.7,8198.2,,,,,2078,2041,,,,,,,0.993,0.968,,,49.82,49.18
D04,Absolute Quantification,ABS,S4_04,Ch2Unknown,2,Multi,2101,ddPCR Supermix for Probes (no dUTP),42020,,,2138,2064,16155,3255,13976,2062,2179,1193,878,19410,,,,,,,,0.98,,,1.005,0.956,49.5,,,50.1,48.9,1,1,0,9493.2,2231.1,8275.3,,,,,2120,2082,,,,,,,0.993,0.968,,,49.82,49.18
D05,Absolute Quantification,ABS,S4_05,Ch1Unknown,1,Multi,1033,ddPCR Supermix for Probes (no dUTP),20660,,,1053,1014,11521,8192,8406,3115,3269,4923,456,19713,,,,,,,,0.979,,,1.005,0.953,49.5,,,50.1,48.8,1,1,0,9631.1,1252,6149,,,,,1043,1023,,,,,,,0.992,0.966,,,49.8,49.13
D05,Absolute Quantification,ABS,S4_05,Ch2Unknown,2,Multi,1055,ddPCR Supermix for Probes (no dUTP),21100,,,1075,1036,11675,8038,8406,3115,3269,4923,456,19713,,,,,,,,0.979,,,1.005,0.953,49.5,,,50.1,48.8,1,1,0,9355,2087.4,6391.6,,,,,1066,1045,,,,,,,0.992,0.966,,,49.8,49.13
D06,Absolute Quantification,ABS,S4_06,Ch1Unknown,1,Multi,518,ddPCR Supermix for Probes (no dUTP),10360,,,530,506,7058,12753,4325,2733,2780,9973,233,19811,,,,,,,,0.992,,,1.025,0.959,49.8,,,50.6,49,1,1,0,9854,1246.5,4313.1,,,,,524,512,,,,,,,1.008,0.975,,,50.21,49.37
D06,Absolute Quantification,ABS,S4_06,Ch2Unknown,2,Multi,523,ddPCR Supermix for Probes (no dUTP),10460,,,535,510,7105,12706,4325,2733,2780,9973,233,19811,,,,,,,,0.992,,,1.025,0.959,49.8,,,50.6,49,1,1,0,9429.4,2024.2,4680,,,,,529,516,,,,,,,1.008,0.975,,,50.21,49.37
D07,Absolute Quantification,ABS,S4_07,Ch1Unknown,1,Multi,258,ddPCR Supermix for Probes (no dUTP),5160,,,266,250,3980,16250,2089,1891,1888,14362,112,20230,,,,,,,,1.001,,,1.045,0.957,50,,,51.1,48.9,1,1,0,9996.2,1247.7,2968.9,,,,,261.8,253.6,,,,,,,1.023,0.978,,,50.6,49.5
D07,Absolute Quantification,ABS,S4_07,Ch2Unknown,2,Multi,258,ddPCR Supermix for Probes (no dUTP),5160,,,266,250,3977,16253,2089,1891,1888,14362,112,20230,,,,,,,,1.001,,,1.045,0.957,50,,,51.1,48.9,1,1,0,9448.8,1984.3,3451.7,,,,,261.6,253.4,,,,,,,1.023,0.978,,,50.6,49.5
D08,Absolute Quantification,ABS,S4_08,Ch1Unknown,1,Multi,128,ddPCR Supermix for Probes (no dUTP),2560,,,133,122,2096,18255,974,1122,1120,17135,53.3,20351,,,,,,,,1,,,1.06,0.94,50,,,51.5,48.5,1,1,0,9934.7,1238.6,2134.3,,,,,130.7,125.1,,,,,,,1.032,0.97,,,50.8,49.3
D08,Absolute Quantification,ABS,S4_08,Ch2Unknown,2,Multi,128,ddPCR Supermix for Probes (no dUTP),2560,,,133,122,2094,18257,974,1122,1120,17135,53.3,20351,,,,,,,,1,,,1.06,0.94,50,,,51.5,48.5,1,1,0,9382.1,1957.7,2721.6,,,,,130.5,125,,,,,,,1.032,0.97,,,50.8,49.3
D09,Absolute Quantification,ABS,S4_09,Ch1Unknown,1,Multi,62,ddPCR Supermix for Probes (no dUTP),1240,,,66,58.1,963,17786,441,522,519,17267,27,18749,,,,,,,,1,,,1.09,0.91,50.1,,,52.3,47.8,1,1,0,9895.9,1237.4,1682.1,,,,,64,60,,,,,,,1.049,0.957,,,51.2,48.9
D09,Absolute Quantification,ABS,S4_09,Ch2Unknown,2,Multi,61.8,ddPCR Supermix for Probes (no dUTP),1236,,,65.8,57.9,960,17789,441,522,519,17267,27,18749,,,,,,,,1,,,1.09,0.91,50.1,,,52.3,47.8,1,1,0,9346.4,1930.2,2309.9,,,,,63.8,59.8,,,,,,,1.049,0.957,,,51.2,48.9
D10,Absolute Quantification,ABS,S4_10,Ch1Unknown,1,CHECK,22,ddPCR Supermix for Probes (no dUTP),,,,,,151,8150,63,88,79,8071,8.84,8301,,,,,,,,,,,,,,,,,,1,1,0,7194.7,1056.1,1167.7,,,,,,,,,,,,,,,,,,
